rank,language,name,requests_per_second,description
1,Rust,"may-minihttp",1448273,"may-minihttp [may-minihttp] (Rust; may-minihttp on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #831]"
2,Rust,"ntex [sailfish]",1380317,"ntex [sailfish] [ntex-db] (None; ntex on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1059]"
3,Java,"wizzardo-http",1372100,"wizzardo-http [wizzardo-http] (None; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #990]"
4,C,"h2o",1348681,"libh2o [h2o] (None; h2o on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #468]"
5,Rust,"ntex [async-std,db]",1334739,"ntex [async-std,db] [ntex-db-compio] (None; ntex on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1170]"
6,Java,"vertx-postgres",1315264,"vert.x [vertx-postgres] (vert.x; None on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #977]"
7,Kotlin,"vertx-web-kotlinx-postgresql",1313163,"vertx-web-kotlinx-postgresql [vertx-web-kotlin-dsljson-postgresql] (vert.x; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1361]"
8,JavaScript,"just-js",1289246,"just-js [just] (just-js; None on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #1046]"
9,Rust,"axum [postgresql]",1270151,"Axum [Postgresql] [axum-pg] (Rust; hyper on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #1112]"
10,Rust,"xitca-web",1266381,"xitca-web [xitca-web] (None; xitca-server on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1217]"
11,Java,"vertx-web-postgres",1262001,"vertx-web [vertx-web-postgres] (vert.x; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #488]"
12,Rust,"viz [postgresql]",1259172,"Viz [Postgresql] [viz-pg] (Rust; hyper on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #1364]"
13,Java,"quarkus, vert.x",1258371,"Quarkus, Vert.x [quarkus-vertx] (vert.x; vert.x on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1430]"
14,Rust,"xitca-web [orm]",1241937,"xitca-web [orm] [xitca-web-orm] (None; xitca-server on Linux; Postgres on Linux; Full ORM; Fullstack class; Realistic approach) [Test #1472]"
15,Rust,"salvo [postgres]",1239261,"Salvo [postgres] [salvo-pg] (Rust; hyper on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1340]"
16,Kotlin,"vertx-web-kotlinx-postgresql",1210776,"vertx-web-kotlinx-postgresql [vertx-web-kotlinx-postgresql] (vert.x; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1465]"
17,Java,"quarkus, postgresql",1181497,"Quarkus, PostgreSQL [quarkus-reactive-routes-pgclient] (vert.x; vert.x on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #1429]"
18,Kotlin,"vertx-web-kotlin-coroutines-postgres",1153566,"vertx-web-kotlin-coroutines-postgres [vertx-web-kotlin-coroutines-postgres] (vert.x; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1211]"
19,Java,"inverno",1134919,"inverno [inverno-postgres] (inverno; None on Linux; Postgres on Linux; Micro ORM; Micro class; Realistic approach) [Test #1151]"
20,Java,"jooby-pgclient",1105323,"jooby [jooby-pgclient] (Netty; None on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #794]"
21,Scala,"vertx-web-scala",1080764,"vertx-web [vertx-web-scala] (vert.x; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #978]"
22,Java,"officefloor-async",1076847,"OfficeFloor-async [officefloor-rawsqlclient] (officefloor; woof on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #1060]"
23,Go,"gearbox",1073715,"Gearbox [gearbox-prefork] (None; None on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #1038]"
24,Java,"officefloor-sqlclient",1071262,"OfficeFloor-sqlclient [officefloor-sqlclient] (officefloor; woof on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #1172]"
25,Go,"fasthttp-prefork",1060854,"None [fasthttp-prefork] (None; None on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #643]"
26,Go,"atreugo-prefork",1054322,"atreugo [atreugo-prefork] (None; None on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #646]"
27,pascal,"mormot [async,nopin]",1042816,"mormot [async,nopin] [mormot-postgres-raw] (None; None on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #1305]"
28,C++,"lithium-postgres",1040675,"lithium [lithium-postgres] (None; None on Linux; Postgres on Linux; Full ORM; Micro class; Realistic approach) [Test #825]"
29,C++,"lithium-postgres-beta",1034693,"lithium [lithium-postgres-beta] (None; None on Linux; Postgres on Linux; Full ORM; Micro class; Realistic approach) [Test #826]"
30,C++,"drogon-core",1033970,"drogon [drogon-core] (None; None on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #689]"
31,Clojure,"reitit-async",1028274,"reitit [reitit-async] (Undertow; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #911]"
32,pascal,"mormot [orm]",1027916,"mormot [orm] [mormot] (None; None on Linux; Postgres on Linux; Full ORM; Fullstack class; Realistic approach) [Test #1303]"
33,C++,"drogon",1014115,"drogon [drogon] (None; None on Linux; Postgres on Linux; Micro ORM; Fullstack class; Realistic approach) [Test #688]"
34,Scala,"otavia",1013800,"otavia [otavia] (otavia; None on Linux; Postgres on Linux; Micro ORM; Micro class; Realistic approach) [Test #1421]"
35,Scala,"otavia",1005869,"otavia [otavia-overshoot] (otavia; None on Linux; Postgres on Linux; Micro ORM; Micro class; Realistic approach) [Test #1422]"
36,Go,"fiber-prefork",1000519,"fiber [fiber-prefork] (None; None on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #730]"
37,PHP,"php-ngx-pgsql",977237,"php-ngx [php-ngx-pgsql] (ngx_php; nginx on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #872]"
38,PHP,"webman-pgsql",958205,"webman-pgsql [webman-pgsql] (workerman; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1467]"
39,Java,"revenj-jvm",957604,"Revenj.JVM [revenj-jvm] (Servlet; Resin on Linux; Postgres on Linux; Full ORM; Fullstack class; Realistic approach) [Test #430]"
40,PHP,"workerman-php8-jit",939199,"workerman-php8-jit [workerman-pgsql-without-jit] (workerman; None on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #1093]"
41,PHP,"swoole-sync-postgres",935998,"Swoole-sync-postgres [swoole-postgres] (swoole; None on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #1451]"
42,PHP,"workerman-pgsql",934250,"workerman [workerman-pgsql] (workerman; None on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #995]"
43,C++,"ffead-cpp-postgresql-raw",906751,"ffead-cpp-postgresql-raw [ffead-cpp-postgresql-raw-async-pool-profiled] (None; ffead-cpp on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #1028]"
44,Go,"go-pgx-prefork-easyjson",906380,"go-std [go-pgx-prefork-easyjson] (None; None on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #649]"
45,C++,"cpoll_cppsp-postgres-raw",899310,"cpoll-cppsp [cpoll_cppsp-postgres-raw] (None; None on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #131]"
46,Go,"go-pgx-prefork",898606,"go-std [go-pgx-prefork] (None; None on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #648]"
47,Java,"proteus",867240,"proteus [proteus] (Undertow; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #894]"
48,C++,"lithium",861888,"lithium [lithium] (None; None on Linux; MySQL on Linux; Full ORM; Micro class; Realistic approach) [Test #57]"
49,C#,"aspnetcore",844156,"asp.net core [aspnetcore] (.NET; kestrel on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #598]"
50,Java,"micronaut",836808,"micronaut [micronaut] (Netty; netty on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #832]"
51,Go,"go-my-prefork",831417,"go-std [go-my-prefork] (None; None on Linux; MySQL on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #744]"
52,PHP,"workerman [jit, mysql]",827554,"workerman [jit, mysql] [workerman-mysql] (workerman; None on Linux; MySQL on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #1468]"
53,C#,"aspnetcore-aot",824366,"asp.net core [aspnetcore-aot] (.NET; kestrel on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #611]"
54,PHP,"ubiquity-ngx-raw",824001,"ubiquity-ngx-raw [ubiquity-ngx-raw] (ngx_php; nginx on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #1083]"
55,PHP,"php-ngx-mysql",820264,"php-ngx [php-ngx-mysql] (ngx_php; nginx on Linux; MySQL on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #870]"
56,PHP,"kumbiaphp-workerman",807849,"kumbiaphp [kumbiaphp-workerman] (workerman; None on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #818]"
57,Go,"goravel fiber",802857,"Goravel Fiber [goravel-fiber] (None; None on Linux; Postgres on Linux; Full ORM; Fullstack class; Realistic approach) [Test #1387]"
58,Java,"quarkus",802294,"quarkus [quarkus] (resteasy reactive; vert.x on Linux; Postgres on Linux; Full ORM; Fullstack class; Realistic approach) [Test #897]"
